MSG,data_excel,anno,mese,data,ora,critical_day
Eventi a breve: Vinitaly e La grande sete http://ff.im/-Aw4eM,4/6/2011,2011,4,6,12,noheat
fa caldo...me metto a mezze maniche...fa freddo...me metto er giacchetto...fa tiepido...ma che cazzo dico???,4/6/2011,2011,4,6,12,noheat
Fa proprio caldo! :),4/6/2011,2011,4,6,12,noheat
"Ho fame, ho sonno, ho sete e per giunta ho male a un piede!!! #Accidenti",4/6/2011,2011,4,6,12,noheat
ma che bel caldo sul @GardaTrentino,4/6/2011,2011,4,6,12,noheat
Ma io ho già caldo ****!,4/6/2011,2011,4,6,12,noheat
maaa che caldo! O_O,4/6/2011,2011,4,6,12,noheat
nel mio ufficio fa *CALDO*,4/6/2011,2011,4,6,12,noheat
Quest'estate fará un caldo a Firenze :O devo scappare :D,4/6/2011,2011,4,6,12,noheat
RT @_verbain_: Con queste belle giornate non mi va di stare in casa :| vorrei correre in giro sui prati con il sole caldo e la musica a palla *-*,4/6/2011,2011,4,6,12,noheat
RT @cronachedibirra: E voi siete più tipi da #vinitaly o da La grande sete? http://goo.gl/cQIw9,4/6/2011,2011,4,6,12,noheat
"RT @dontcryCosette: Sono TALMENTE felice, fa così caldo ed è tutto troppo bello *w*",4/6/2011,2011,4,6,12,noheat
Son di nuovo a lavoro. Oggi caldo allucinante e voglia di lavorare 0.,4/6/2011,2011,4,6,12,noheat
"Sono TALMENTE felice, fa così caldo ed è tutto troppo bello *w*",4/6/2011,2011,4,6,12,noheat
troppo caldo D:,4/6/2011,2011,4,6,12,noheat
L'altra sera volevo chiederti se ti andava di andare a prendere qualcosa da bere..ma solo se hai sete #immaturi,4/6/2011,2011,4,6,13,noheat
@Apseude forse era proprio orario di punta quindi certo caldo torrido,4/6/2011,2011,4,6,13,noheat
@enzomes era ora finalmente che tornasse il caldo,4/6/2011,2011,4,6,13,noheat
@HiroandCo Questa volta è un devo...piacevole...sarà anche per il caldo...,4/6/2011,2011,4,6,13,noheat
@Marta_Frenna ahahahah io li farei morire di fame e sete sotto il sole,4/6/2011,2011,4,6,13,noheat
@xshelovestorres Anche a me non fa vedere i TT! Stupido Twitter xD Fa un caldo qui e c'è un sole! Da te invece?,4/6/2011,2011,4,6,13,noheat
[Sportmediaset] FORMULA 1: Alonso è già caldo http://bit.ly/f5BjKd,4/6/2011,2011,4,6,13,noheat
"c'è anche la birra artigianale, al #vinitaly (hai detto mai che ti rimanesse un po' di sete) http://ow.ly/4ujXp (via @cronachedibirra)",4/6/2011,2011,4,6,13,noheat
"caldo, bel sole, profumo di primavera.. io lavoro.. STRACAZZO..",4/6/2011,2011,4,6,13,noheat
"Ciao a tutti, oggi fa molto caldo in Sant Cugat!!! sembra che l'estate è arrivata ...Sono ottimista :)",4/6/2011,2011,4,6,13,noheat
Dovrei finire il capitolo 8 oggi! Speriamo! Anche se con questo caldo non s'affronta!,4/6/2011,2011,4,6,13,noheat
I favorited a @YouTube video http://youtu.be/mxEniWutr64?a Elói Kruger avalia o Sete de Setembro,4/6/2011,2011,4,6,13,noheat
Maci mia che caldo che fa!,4/6/2011,2011,4,6,13,noheat
"Moda primavera estate 2011: le t-shirt più belle in rete (foto): Piano piano arriva il caldo, e cosa c è di più ... http://bit.ly/halZMr",4/6/2011,2011,4,6,13,noheat
nel sud-est inglese fa finalmente caldo. Mi sembra degno di nota. Esco.,4/6/2011,2011,4,6,13,noheat
No nazzi no afa.,4/6/2011,2011,4,6,13,noheat
Non può fare così caldo in pullman...siamo matti?,4/6/2011,2011,4,6,13,noheat
Scendo in centro perche tengo caldo (cit.),4/6/2011,2011,4,6,13,noheat
"tutti che hanno caldo, che palle. prima avevano freddo. ditemi dove devo firmare per avere questa temperatura tutto l'anno, che io firmo.",4/6/2011,2011,4,6,13,noheat
uffa fa troppo caldo per essere solo ad inizio aprile. Per fortuna a Torino ci sono alberi e quindi c'è ombra altrimenti non si resiste!,4/6/2011,2011,4,6,13,noheat
#modena Caldo record a Modena: solo nel 1961 c'è stato più caldo ad aprile. E da giovedì a domenica temperature estive,4/6/2011,2011,4,6,14,noheat
"@__EternityBB beeeeeene D: un caldo da morire, taaanta troppa strada, e per cosa? due minuti con quelle barbe lunghe ahah",4/6/2011,2011,4,6,14,noheat
@_BennyJonas_ Ma che ho sonno e che sto morendo dal caldo.Te?,4/6/2011,2011,4,6,14,noheat
@aylincaks fa caldo bella sole ma non c'e piove..!,4/6/2011,2011,4,6,14,noheat
@GFT78 qui il caldo oggi potrebbe uccidermi (qui a Firenze) :(,4/6/2011,2011,4,6,14,noheat
@salvatore985 se hai caldo adesso_a giugno ti consiglio di trasferirti in spiaggia :),4/6/2011,2011,4,6,14,noheat
@sarassfotti @risver_ @giorgi0_ ma che caldo fa??? *parte la canzone sensuale da porno* Anch'io amo l'estate!!!,4/6/2011,2011,4,6,14,noheat
@sarassfotti @stefaniaperin @risver_ Ciao sara!si fa proprio caldo *si inizia a spogliare* Io sto a lezione! Sob.. #fatemiuscire,4/6/2011,2011,4,6,14,noheat
@sibiettina soprattutto con quetso caldo..,4/6/2011,2011,4,6,14,noheat
@sivorion @manudiazbe @jerobilello http://www.afa.org.ar/images/stories/boletines/tribunal_disciplina_interior/BOLETIN_N_17-11.pdf  BOLETIN,4/6/2011,2011,4,6,14,noheat
1-credo di aver perso dei soldi 2-ma che caldo fa? 3- ho comprato un bel paio di jeans^^,4/6/2011,2011,4,6,14,noheat
A Roma si muore di caldo,4/6/2011,2011,4,6,14,noheat
a tirei 10 na provinha surpresa do sete :D,4/6/2011,2011,4,6,14,noheat
ad  Asti caldo infernale ... finalmente si può uscire finalmente in maniche corte.... siiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,4/6/2011,2011,4,6,14,noheat
Alfred Anderson: contro il caldo mangiamo light La tanto attesa caldo è arrivata e nonostante & http://goo.gl/fb/0B1z6,4/6/2011,2011,4,6,14,noheat
Alvin Aguirre: contro il caldo mangiamo light La tanto attesa mesi estivi è arrivata e & http://goo.gl/fb/XoqoG,4/6/2011,2011,4,6,14,noheat
Ben Church: contro il caldo mangiamo light La tanto attesa estate è arrivata e nonostante non & http://goo.gl/fb/HF74Y,4/6/2011,2011,4,6,14,noheat
Brad Sutton: contro il caldo mangiamo light La tanto attesa estate è arrivata e nonostante & http://goo.gl/fb/NDq6n,4/6/2011,2011,4,6,14,noheat
Buongiorno.. Che caldo!!!,4/6/2011,2011,4,6,14,noheat
Capital Inicial em Sete Lagoas - MG (02/04/2011) http://t.co/syIfHRR,4/6/2011,2011,4,6,14,noheat
"Cavoli che dormitona..però che caldo,altro che luglio qui a bergamo!!oooh adesso caffè e vediamo di riprenderci..",4/6/2011,2011,4,6,14,noheat
ci sono uomini soli per la sete di avventura ù.ù,4/6/2011,2011,4,6,14,noheat
"con il fatto che è primavera e che iniziano tutte a sentir più caldo, a me prenderà presto un infarto!",4/6/2011,2011,4,6,14,noheat
"con questo caldo non mi va proprio di andare in palestra, ma per l u i ci vado e come :D",4/6/2011,2011,4,6,14,noheat
Con questo tepore primaverile la voglia di studiare se n'è letteralmente andata al parco.... un motivo in più per non volere il caldo!!!,4/6/2011,2011,4,6,14,noheat
contro il caldo mangiamo light http://bit.ly/eJzH2m,4/6/2011,2011,4,6,14,noheat
contro il caldo mangiamo light http://bit.ly/hFTGb5,4/6/2011,2011,4,6,14,noheat
"corsa stupenda quella di oggi! Sole caldo, vento fresco, il Tamigi sotto i piedi! FANTASTICO!",4/6/2011,2011,4,6,14,noheat
Cory Sherman: contro il caldo mangiamo light La tanto attesa mesi estivi è arrivata e & http://goo.gl/fb/2ZK1e,4/6/2011,2011,4,6,14,noheat
Curtis Mcgee: contro il caldo mangiamo light La tanto attesa stagione calda è arrivata e & http://goo.gl/fb/mdVmu,4/6/2011,2011,4,6,14,noheat
deve ser por causa do caldo de cana :O ',4/6/2011,2011,4,6,14,noheat
Fa troppo caldo,4/6/2011,2011,4,6,14,noheat
"Fa un caldo della Madonna (inveeeeerno &e), ho dormito niente, sono scazzata e ho le crisi allergiche.. Può bastare >.<?",4/6/2011,2011,4,6,14,noheat
Finalmente è arrivato il caldo... Non vedevo l'ora!!! :-D,4/6/2011,2011,4,6,14,noheat
già troppo caldo per vivere,4/6/2011,2011,4,6,14,noheat
Greg Aguilar: contro il caldo mangiamo light La tanto attesa bella stagione è arrivata e & http://goo.gl/fb/PwqDM,4/6/2011,2011,4,6,14,noheat
Herbert Vincent: contro il caldo mangiamo light La tanto attesa estate è arrivata e & http://goo.gl/fb/LYmek,4/6/2011,2011,4,6,14,noheat
Jack Orr: contro il caldo mangiamo light La tanto attesa caldo è arrivata e nonostante non & http://goo.gl/fb/tyrr9,4/6/2011,2011,4,6,14,noheat
Jeremy Cooley: contro il caldo mangiamo light La tanto attesa stagione calda è arrivata e & http://goo.gl/fb/JElYC,4/6/2011,2011,4,6,14,noheat
Jonathan Le: contro il caldo mangiamo light La tanto attesa stagione calda è arrivata e & http://goo.gl/fb/AQ0qI,4/6/2011,2011,4,6,14,noheat
Lee Gordon: contro il caldo mangiamo light La tanto attesa estate è arrivata e nonostante non & http://goo.gl/fb/6RSkI,4/6/2011,2011,4,6,14,noheat
Leggere Dracula prendendo il sole: io può. Che caldo.,4/6/2011,2011,4,6,14,noheat
mappa che caldo. :D,4/6/2011,2011,4,6,14,noheat
Max Dodson: contro il caldo mangiamo light La tanto attesa stagione calda è arrivata e & http://goo.gl/fb/0bo59,4/6/2011,2011,4,6,14,noheat
"Meteo: caldo record in Piemonte, 30 gradi nel week-end: ... http://tinyurl.com/5r4z4og",4/6/2011,2011,4,6,14,noheat
"Non fa un po' caldo, per essere il 6 aprile? :/",4/6/2011,2011,4,6,14,noheat
OGGI FA' UN CALDO PAUROSO...SPETTACOLO!!! BBQ TIME!!! VOI?,4/6/2011,2011,4,6,14,noheat
Oggi si muore dal caldo. D:,4/6/2011,2011,4,6,14,noheat
Oggi Sole e caldo a Parma!!! 22° c'è aria di primavera!! :),4/6/2011,2011,4,6,14,noheat
"Ormai fa davvero caldo, è proprio arrivata la Primavera!",4/6/2011,2011,4,6,14,noheat
Pirulito de Caldo de cana!!!,4/6/2011,2011,4,6,14,noheat
qui fa un caldo infernale,4/6/2011,2011,4,6,14,noheat
Robert Morrow: contro il caldo mangiamo light La tanto attesa caldo è arrivata e nonostante & http://goo.gl/fb/8HxRU,4/6/2011,2011,4,6,14,noheat
Roger Blanchard: contro il caldo mangiamo light La tanto attesa mesi estivi è arrivata e & http://goo.gl/fb/s9QmC,4/6/2011,2011,4,6,14,noheat
Ross Barr: contro il caldo mangiamo light La tanto attesa stagione calda è arrivata e & http://goo.gl/fb/3Wys6,4/6/2011,2011,4,6,14,noheat
RT @Yuko_nya: Con questo tepore primaverile la voglia di studiare se n'è letteralmente andata al parco.... un motivo in più per non volere il caldo!!!,4/6/2011,2011,4,6,14,noheat
"Se sto immobile, non mi agito, non parlo e non rido forse non ho caldo. Forse.",4/6/2011,2011,4,6,14,noheat
"Sole della vita, caldo del 2 , e noi qua al lavoro. YO",4/6/2011,2011,4,6,14,noheat
Zachary Riddle: contro il caldo mangiamo light La tanto attesa mesi estivi è arrivata e & http://goo.gl/fb/iPSMg,4/6/2011,2011,4,6,14,noheat
@3v1n0 bonissimo una sett quasi ma ki vu sete? io mi sa ke vo in canada il 27 maggio :D :D,4/6/2011,2011,4,6,15,noheat
@aleEDele visto il caldo gonna,4/6/2011,2011,4,6,15,noheat
@AleUeb Ma che caldo fa oggi?,4/6/2011,2011,4,6,15,noheat
"@DG_VICTIMS siii, direi che fa un filino troppo caldo..ma basta lamentarsi sempre:D",4/6/2011,2011,4,6,15,noheat
"@EnricoManachino no,avevo sete e mi è stato offerto quello...la sete è una brutta bestia",4/6/2011,2011,4,6,15,noheat
"@francirock pure qui parecchio caldo, ma mi garba :D",4/6/2011,2011,4,6,15,noheat
"@georgar Hmmm... Ja, ja: Mao gjedna kadla'ra fø Campus Nava(r)sete fø min dèl! Eller Campo Sportivo di Sogndal IF.",4/6/2011,2011,4,6,15,noheat
@karencunsolo Ai piorou?,4/6/2011,2011,4,6,15,noheat
@massim8 e poi fa pure caldo,4/6/2011,2011,4,6,15,noheat
"@meupaulo: @LucasBebas I'm at Cai duro, Av. Sete!",4/6/2011,2011,4,6,15,noheat
@Rudy_Angels Ma se è estate ç____ç Che te ne fai?C'è un sole e un caldo!,4/6/2011,2011,4,6,15,noheat
@signorina_x si muore di caldo. Soprattutto i figaccioni come me in giacca e cravatta.,4/6/2011,2011,4,6,15,noheat
@YessicaSosa descuida k eso sete pasara pronto,4/6/2011,2011,4,6,15,noheat
ah che caldo boia. cosa non darei per una birra asahi ghiacciata come quella infilata nel costume di phoebe cates. http://bit.ly/d33TFm,4/6/2011,2011,4,6,15,noheat
Aprile da record. Mai così caldo negli ultimi 50 anni | Il Sito di Modena http://t.co/v3FfTd9 via @AddThis,4/6/2011,2011,4,6,15,noheat
"Aprile, caldo record in città Il picco nel week-end - Il Resto del Carlino: Il Resto del Carlino... http://bit.ly/hs6ldp (bit.ly/reurbe)",4/6/2011,2011,4,6,15,noheat
"che belloo domani di nuovo musical, ballare sotto il sole, caldo, fatica ma per me sopprattuto DIVERTIMENTO <3",4/6/2011,2011,4,6,15,noheat
Con questo caldo la stanchezza aumenta,4/6/2011,2011,4,6,15,noheat
Dolce e caldo estate &e,4/6/2011,2011,4,6,15,noheat
Fa caldo.  è E gira nudo per casa. Secondo me funziona. http://4ms.me/ejw0M5,4/6/2011,2011,4,6,15,noheat
Forse non mi prenderò il raffreddore ma lavorare a 27 gradi col condizionatore acceso è tutto dire....#afa #stomorendodicaldo,4/6/2011,2011,4,6,15,noheat
fuori si schiatta di caldo D:,4/6/2011,2011,4,6,15,noheat
La collezione Slam DONNA primavera/estate 2011 è finalmente on-line! Diamo un po' di stile SLAM a questo caldo? http://fb.me/OFkruz8N,4/6/2011,2011,4,6,15,noheat
Ma il caldo tropicale?!???,4/6/2011,2011,4,6,15,noheat
"Mi hanno or ora portato un 3 Kg di pane caldo, appena fatto. Ora, con il vostro permesso, mi eclisso e vado a scofanarmi. #AuRevoir",4/6/2011,2011,4,6,15,noheat
oggi stavo morendo di caldo sul pullman :o,4/6/2011,2011,4,6,15,noheat
"Sognando il caldo estivo, ho sentito la canzone del suo respiro accarezzare la bellezza dei prati verdi: http://t.co/eTkQdPJ #erotic #desire",4/6/2011,2011,4,6,15,noheat
Sui bus ci sono 36 gradi CALDO,4/6/2011,2011,4,6,15,noheat
treno tanto per cambiare....caldo...e poi..ma quanta gente c'e' che va da bologna a milano?!!! aiuto,4/6/2011,2011,4,6,15,noheat
Troppo caldo si va a casa,4/6/2011,2011,4,6,15,noheat
Uscita dalla doccia *O* ora ho caldo D:,4/6/2011,2011,4,6,15,noheat
"vou com o gustavo la no sete ;D ', beijos #GO",4/6/2011,2011,4,6,15,noheat
@AlxAlvarz3 Sono così caldo ?????,4/6/2011,2011,4,6,16,noheat
"@Dehresendex Uai, vc vai pra Sete Lagoas? Ver jogo do Galo? kkkkkk",4/6/2011,2011,4,6,16,noheat
@iamverycrazy_  afá !lembra.... :/ aff+avá,4/6/2011,2011,4,6,16,noheat
"@MALDITOHIPPIE_ sim, sim, arroz, carne cozida com bacon e batata e tem farinha de mandioca com caldo de carne *_* HSUIAHIUSHUI -ss",4/6/2011,2011,4,6,16,noheat
"@rafatrooian ei afa, como é o nome da tua mãe mesmo?  ;x UUSIAUIASIUSAIUIUSIU",4/6/2011,2011,4,6,16,noheat
@Rudy_Angels HO DETTO CHE C'E' CALDO CHE TE NE FAI DI UNA CIOCCOLATA CON STO CADO?! xDD,4/6/2011,2011,4,6,16,noheat
"@telexjournal o sarebbe perfetto, con questo mmmmmmhaaa sete:)",4/6/2011,2011,4,6,16,noheat
@topolina84 Mi sa che il caldo farà scattare liti fuori e dentro lo stadio.. ;D Ma noi ce ne staremo alla larga .. ;D,4/6/2011,2011,4,6,16,noheat
Avere totalmente caldo e i piedi gelidi! #sonoio,4/6/2011,2011,4,6,16,noheat
chaos in città!!!la troppa democrazia ammazza la democrazzia!!!nostro paese sta cendendo all' ultimo cerchio dantesco...mamma che caldo!!!!,4/6/2011,2011,4,6,16,noheat
fa un cazzo di caldo.... ve l'avevo detto di non chiamarlo,4/6/2011,2011,4,6,16,noheat
"Meteo: dal freddo al caldo, nord rischia 30° http://fb.me/VaoEUidy",4/6/2011,2011,4,6,16,noheat
Non c'e cosa piu' buona dell'acqua quando si ha una sete da paura.,4/6/2011,2011,4,6,16,noheat
Nuove stufe a legna per un caldo più sostenibile http://nblo.gs/gkzwi,4/6/2011,2011,4,6,16,noheat
Nuove stufe a legna per un caldo più sostenibile: La Palazzotti presenta la nuova & http://goo.gl/fb/0CU4X,4/6/2011,2011,4,6,16,noheat
Oggi ho talmente caldo che sono in canottiera e pantaloncini!,4/6/2011,2011,4,6,16,noheat
oggi si sono sfiorati i 30 gradi in classe... #dipinfo #caldo #fb,4/6/2011,2011,4,6,16,noheat
Photo: Ma stiamo facendo un workshop o un corso di bricolage? Caldo boia! L auto-martirio della visione di... http://tumblr.com/xa720n9jnk,4/6/2011,2011,4,6,16,noheat
Photo: potter-generation: http://tumblr.com/x6q20neh53,4/6/2011,2011,4,6,16,noheat
Ritorno in palestra x yoga dopo 10 gg... Fa troppo caldo!!!,4/6/2011,2011,4,6,16,noheat
sento così caldo che sto per evaporare!,4/6/2011,2011,4,6,16,noheat
sto morendo di caldo,4/6/2011,2011,4,6,16,noheat
sto schiattando di caldo e il fatto bello è che ho il raffredore.,4/6/2011,2011,4,6,16,noheat
STO. MORENDO. DI. CALDO. D:,4/6/2011,2011,4,6,16,noheat
tazzona di latte caldo cn miele :),4/6/2011,2011,4,6,16,noheat
"Tutti che hanno caldo,che palle. Prima avevano freddo...ora si lamentano del caldo",4/6/2011,2011,4,6,16,noheat
#Banfield - #River (Sabado 20.20  Lunati); Vs. Arsenal (Lun 18  20.30 hs.); Vs. #Newell's (Sabado 23  20 hs. -sin confirmar-) (By web #AFA),4/6/2011,2011,4,6,17,noheat
"@_thayslicetti ah não tem essa , eu passo aí sete e quinze e você vai *-*",4/6/2011,2011,4,6,17,noheat
"@_thayslicetti Então tá, sete e quinze estou aí *-*",4/6/2011,2011,4,6,17,noheat
@andrew_pako scusa? Sono caldo?,4/6/2011,2011,4,6,17,noheat
@BambolaSimona Bhe se sei stata dove fà caldo ...basta una foto in costume da bagno (topless) naturalmente! ;),4/6/2011,2011,4,6,17,noheat
"@bego_valencia Sto molto bene, ma ho tantissimo caldo!!",4/6/2011,2011,4,6,17,noheat
@I_ro_Nic @ikoichi a me il caldo destabilizza.,4/6/2011,2011,4,6,17,noheat
@Kika_in_Love ma è così bella la sicilia *w* avete il caldo e il mare per l'estate. mi ci trasferirei io lì :D comunque 17 e tu?,4/6/2011,2011,4,6,17,noheat
@LilyUs5 hwy come butta? quanto tempoo xD come si sta al sud? caldo anche lì?,4/6/2011,2011,4,6,17,noheat
@lunaticannie  ciao Anna... quanto fa caldo dalle tue parti??? @Dinuovoqua,4/6/2011,2011,4,6,17,noheat
@lunaticannie  quanto caldo... da mare mare...:XD @Dinuovoqua,4/6/2011,2011,4,6,17,noheat
@miyavoice abbastanza caldo direi :))) @Dinuovoqua,4/6/2011,2011,4,6,17,noheat
@Nubetossica @funghetto_kway: A qualcuno piace (twittare) caldo,4/6/2011,2011,4,6,17,noheat
@profmarche c'e il sole! Ora tutti abbiamo bisogno e tempo caldo:),4/6/2011,2011,4,6,17,noheat
@Risver_ @slash018 @giorgi0_ @hivangrosny @sarassfotti @furioelespine è sempre caldo *___*,4/6/2011,2011,4,6,17,noheat
@TammyLovesBTR hey tutto bene grazie e te? :) si è abbastanza caldo!,4/6/2011,2011,4,6,17,noheat
"È veroo ** RT @_Seil: Non so nel resto d'Italia, ma a Roma si muore di caldo. È ESTATE, non primavera.",4/6/2011,2011,4,6,17,noheat
"è arrivata la #primavera, approfittatene dei primi giorni di caldo a venire nelle #dolomiti",4/6/2011,2011,4,6,17,noheat
"Acho q eu vo no #SETE ver os lindo do @ReenanGonzalez , @Marlonoliveira7 e @GuuEiji Jogar ;D",4/6/2011,2011,4,6,17,noheat
&k &j Ci sarà un lavoro e il caldo di una stanza e ogni giorno almeno un piatto di sperata speranza &j &k  :),4/6/2011,2011,4,6,17,noheat
Bella corsetta! Finalmente caldo!,4/6/2011,2011,4,6,17,noheat
caldo caldo caldo me vado a comprà il gelato,4/6/2011,2011,4,6,17,noheat
Caldo de pollo rico rico,4/6/2011,2011,4,6,17,noheat
"Con il caldo ormai esploso a #Firenze, vi consigliamo un aperitivo secco e dissetante: lo #Spritz! Un'ottimo drink... http://fb.me/DWmFA8jJ",4/6/2011,2011,4,6,17,noheat
"Con il caldo ormai esploso a #Firenze, vi consigliamo un aperitivo secco e dissetante: lo #Spritz! Un'ottimo drink... http://fb.me/KdVA2HnX",4/6/2011,2011,4,6,17,noheat
Dentro al comitato regionale si potrebbe girare in mutande per il caldo che c'è,4/6/2011,2011,4,6,17,noheat
"durmiii, beijo :* ate as sete da noite ;)",4/6/2011,2011,4,6,17,noheat
"E aí, a lupeta de Bebitos tá pronta? Kkkkkkkk RT: @viniaraujo32:  I'm at Cai duro, Av. Sete!",4/6/2011,2011,4,6,17,noheat
finalmente è arrivato un po' di caldo!ora si che si sta bene!!:),4/6/2011,2011,4,6,17,noheat
"hmmmm acho qe vo la no sete #LÁLÁLÁ ! '-' kkkkkkkkkk, brinks e.e",4/6/2011,2011,4,6,17,noheat
"ho una maglietta estiva e i pantaloncini corti, e ho caldo! siamo passati da inverno a estate? lol",4/6/2011,2011,4,6,17,noheat
Il caldo dà alla testa. La stanchezza dà alla testa. In pratica oggi non ci sono.,4/6/2011,2011,4,6,17,noheat
"Il numero 751, dedicato al Lavoro, è arrivato in redazione, ancora caldo di tipografia! E' già in viaggio per gli abbonati e le librerie.",4/6/2011,2011,4,6,17,noheat
"'Mamma esco!'-'Dove vai?'-'A fanculo!'-'Va bene, portati il giubbotto!'-'Ma no mamma a fanculo fa caldo!' HAHAH #isolitiidioti",4/6/2011,2011,4,6,17,noheat
Mi piace quando fa caldo perché incontri gente in giro che altrimenti non incontreresti.,4/6/2011,2011,4,6,17,noheat
oggi sono uscita a fare un giro in bici con le altre e un bel gelatone ci è stato perfettamente hahahah! con sto caldo penso all'estate! :D,4/6/2011,2011,4,6,17,noheat
"PASSERA? CHIAMATEMI GERONZI! - COL CADAVERE DI CESARONE ANCORA CALDO, CORRADINO SI CANDIDA A NOVELLO SNODO DI PO... http://bit.ly/dKgvbr",4/6/2011,2011,4,6,17,noheat
"RT @_Seil: Non so nel resto d'Italia, ma a Roma si muore di caldo. È ESTATE, non primavera.",4/6/2011,2011,4,6,17,noheat
"RT @DABelieberSmile: È veroo ** RT @_Seil: Non so nel resto d'Italia, ma a Roma si muore di caldo. È ESTATE, non primavera.",4/6/2011,2011,4,6,17,noheat
"RT @Junior_lemes: Acho q eu vo no #SETE ver os lindo do @ReenanGonzalez , @Marlonoliveira7 e @GuuEiji Jogar ;D",4/6/2011,2011,4,6,17,noheat
"RT @necrophelia: Nooooo non obbligatemi ad uscire, noooo ToT Voglio uccidere zombie e morire di fame e sete davanti all'X-Box come i nerd asiatici.",4/6/2011,2011,4,6,17,noheat
sono in canottiera dall'una. si muore di caldo-,4/6/2011,2011,4,6,17,noheat
"sono in canottiera e pantaloncini, sto morendo di caldo oò",4/6/2011,2011,4,6,17,noheat
Vo comer e parti #sete,4/6/2011,2011,4,6,17,noheat
ya che fame! e che caldo! no caldo no. si sta benissimo!,4/6/2011,2011,4,6,17,noheat
@_aloserlikeme ok. Deus te ouça. Sete e quinze no Fratello?,4/6/2011,2011,4,6,18,noheat
@_Thatsmylife_ eggià.un bel bagno caldo o una doccia sono le cose che ti rilassano.Tesoro scusami ma ora daevo andare a mangiare.A dopo <3,4/6/2011,2011,4,6,18,noheat
@allstarfre a chi lo dici! Ma dai è rimasto poco però! Il caldo comincia a farsi sentire! :),4/6/2011,2011,4,6,18,noheat
@bruno_oro Napoli! *_* farà tanto caldo! Buon weekend! =D,4/6/2011,2011,4,6,18,noheat
@Gregcdiaz pa'sete un videito mami !!!!!,4/6/2011,2011,4,6,18,noheat
@itsILA_  eh lo so! ma questo e' il periodo più duro cavolo! :| però basta che finisca amen y.y sii finalmente un po' di caldo :DD,4/6/2011,2011,4,6,18,noheat
@micheletedesco già...mi sento influenzata meglio la tazza di latte caldo...,4/6/2011,2011,4,6,18,noheat
@quevivawes *O* sì! la voglio vedere *w* io metterò quella con il biscione :D la sciarpa mi sa di no...probabilmente si morirà di caldo xD,4/6/2011,2011,4,6,18,noheat
"@rappamelo Con stò caldo non riesco ad essere molto reattivo, perdonami.",4/6/2011,2011,4,6,18,noheat
"a se dice afa, e se dice efe, i se dice ifi.....",4/6/2011,2011,4,6,18,noheat
ah! un bagno caldo era proprio quello che ci voleva!!!,4/6/2011,2011,4,6,18,noheat
Caldo de cana do celio atarde com @tiagovimercati ; D,4/6/2011,2011,4,6,18,noheat
"Caldo: Piemonte, bel tempo e temperature vicine ai 30 gradi http://chilp.it/584603",4/6/2011,2011,4,6,18,noheat
che strana la primavera... Un giorno fa caldo che puoi andare al mare a farti il bagno il giorno dopo fa freddo e diluvia,4/6/2011,2011,4,6,18,noheat
finalmente il caldo e speriamo che rimanga !!!,4/6/2011,2011,4,6,18,noheat
ma che caldo fa????,4/6/2011,2011,4,6,18,noheat
